iter	Logloss
0	0.680897305
1	0.6689155998
2	0.6562239067
3	0.6451391177
4	0.6370016971
5	0.6270522559
6	0.6172287812
7	0.6098496187
8	0.604190278
9	0.5972189206
10	0.5907212691
11	0.5836461097
12	0.5770220586
13	0.5695925633
14	0.5620432409
15	0.5563534814
16	0.5525352465
17	0.5465746863
18	0.5430821978
19	0.5380413093
20	0.5325874007
21	0.5285970674
22	0.5255014021
23	0.5208775593
24	0.5180788373
25	0.5135353
26	0.5099350086
27	0.5058595661
28	0.5030297424
29	0.5005123512
30	0.4986794827
31	0.4946998292
32	0.4906704837
33	0.4870493315
34	0.4826879677
35	0.4796550813
36	0.4764804836
37	0.4743822795
38	0.471545998
39	0.4689106926
40	0.4660267948
41	0.4634320306
42	0.4603217281
43	0.4582144622
44	0.4557430671
45	0.4537860316
46	0.452002286
47	0.4496099054
48	0.4474789809
49	0.4445400029
50	0.4425823097
51	0.4403137911
52	0.438456408
53	0.4360025703
54	0.4336376684
55	0.43043313
56	0.4283527849
57	0.4257888877
58	0.4243453519
59	0.4227327205
60	0.4204712253
61	0.418728754
62	0.4180303362
63	0.4159790126
64	0.4139918044
65	0.4118145726
66	0.4101354207
67	0.4086625001
68	0.4069710286
69	0.4054971154
70	0.4027248648
71	0.4009943718
72	0.3994278987
73	0.3971740052
74	0.3957509101
75	0.3945186257
76	0.3931514956
77	0.3918471873
78	0.3902931973
79	0.3893474209
80	0.3881541492
81	0.3867508019
82	0.3846171891
83	0.3830737776
84	0.3817996971
85	0.3797287465
86	0.3771469302
87	0.3761281866
88	0.374935732
89	0.3721710396
90	0.3710057471
91	0.3696001228
92	0.3680528971
93	0.3663869637
94	0.3663072778
95	0.3645580643
96	0.3631025069
97	0.3615860423
98	0.3597442975
99	0.3580614692
100	0.3556606271
101	0.3540874594
102	0.3527220962
103	0.3514686924
104	0.3506360109
105	0.3496966663
106	0.3477115438
107	0.3463149596
108	0.3452843007
109	0.343750932
110	0.3422972703
111	0.3409799147
112	0.3399911529
113	0.338371822
114	0.3371504457
115	0.3354415743
116	0.3344045894
117	0.3330743249
118	0.3316984969
119	0.3301544659
120	0.3290727078
121	0.3282732743
122	0.3275447515
123	0.3264095034
124	0.3253289359
125	0.324501655
126	0.3232831943
127	0.3221461053
128	0.3211218789
129	0.3191922357
130	0.3184150783
131	0.3173600946
132	0.3157181284
133	0.3148725668
134	0.3141426693
135	0.3128267031
136	0.3122665669
137	0.3112690952
138	0.3093711457
139	0.3076708416
140	0.3067985168
141	0.3054464803
142	0.3043060155
143	0.3031622986
144	0.3017603038
145	0.3007127215
146	0.2999594
147	0.2984863045
148	0.297362039
149	0.2964487247
150	0.2955920253
151	0.2939915808
152	0.292974484
153	0.2924907003
154	0.2919348847
155	0.2910403042
156	0.2899941674
157	0.2884475957
158	0.286833269
159	0.2860275983
160	0.284888675
161	0.2843609585
162	0.2835474195
163	0.2828511349
164	0.2818488621
165	0.2814815024
166	0.2808189824
167	0.2800115932
168	0.2787939758
169	0.2776135291
170	0.2769021641
171	0.2760688624
172	0.2754289599
173	0.274490096
174	0.2735547018
175	0.2720153221
176	0.2711739138
177	0.2707479962
178	0.270022593
179	0.2691503212
180	0.2687765263
181	0.2676939485
182	0.267003094
183	0.2661919957
184	0.2656470127
185	0.2649227758
186	0.2642883314
187	0.2632510763
188	0.2624546836
189	0.2611682296
190	0.2602458863
191	0.2592842246
192	0.2584865212
193	0.2572191091
194	0.2561028879
195	0.2549906745
196	0.2542994876
197	0.2527706552
198	0.2517762954
199	0.251139717
200	0.2502427276
201	0.248970188
202	0.2480598419
203	0.2475302777
204	0.2464346967
205	0.2457108906
206	0.2450855223
207	0.2444622083
208	0.2439889653
209	0.2430021055
210	0.2420380294
211	0.2404790854
212	0.2399603374
213	0.2389019855
214	0.2383626174
215	0.2379053528
216	0.2369638433
217	0.2362701914
218	0.235876385
219	0.2351468272
220	0.234608601
221	0.233690504
222	0.2330974666
223	0.2323083087
224	0.2317669153
225	0.2312486956
226	0.229859926
227	0.2290982993
228	0.228484644
229	0.227674166
230	0.2270172746
231	0.2259966422
232	0.2253017293
233	0.2244732835
234	0.2235646033
235	0.2225402428
236	0.2215190283
237	0.2209479762
238	0.220151382
239	0.2196710257
240	0.2188126463
241	0.2181906848
242	0.2173721961
243	0.2164155869
244	0.2156690541
245	0.2146569348
246	0.2139132579
247	0.2131661646
248	0.2118166956
249	0.2107378356
250	0.2101977797
251	0.2094931862
252	0.2090583578
253	0.2080824399
254	0.2065698756
255	0.2059998643
256	0.2050702662
257	0.2043773094
258	0.2037643203
259	0.2032510356
260	0.2026592061
261	0.2018518877
262	0.2010237408
263	0.2002697809
264	0.1996014382
265	0.1990128259
266	0.1986451963
267	0.1979685667
268	0.197328198
269	0.1962268122
270	0.1956473914
271	0.1947796115
272	0.1940518364
273	0.1932417607
274	0.1928556548
275	0.1921889864
276	0.191495352
277	0.1906736774
278	0.1900253235
279	0.1888850651
280	0.188295198
281	0.1877031954
282	0.187255177
283	0.1866055016
284	0.186264365
285	0.1858152074
286	0.1846075031
287	0.1839696286
288	0.1828978496
289	0.1820790422
290	0.1814762955
291	0.1809688519
292	0.1799801781
293	0.1794634044
294	0.1790093038
295	0.1783214602
296	0.177514061
297	0.1770026274
298	0.1761600021
299	0.1755996595
300	0.1751981244
